
Time[UTC+0.0]	lev[m]	hs[m]	hx[m]	tp[s]	tm01[s]	tm02[s]	dp[deg]	dpm[deg]	hs_sw1[m]	hs_sw8[m]	tp_sw1[s]	tp_sw8[s]	dpm_sw8[deg]	dpm_sw1[deg]	hs_sea8[m]	hs_sea[m]	tp_sea8[s]	tp_sea[s]	tm_sea[s]	dpm_sea8[deg]	dpm_sea[deg]	hs_ig[m]	hs_fig[m]	wsp[kts]	gst[kts]	wd[deg]	wsp100[kts]	wsp50[kts]	wsp80[kts]	precip[mm/hr]	tmp[C]	rh[%]	vis[km]	cld[%]	cb[m]	csp0[kts]	cd0[deg]	ss[m]	sst[C]
2014-02-10 05:00:00	 0.00	1.9	3.5	13.1	6.6	5.6	  0	243	1.4	1.3	13.1	13.1	243	243	1.3	0.0	7.4	0.0	0.0	163	  0	0.00	0.00	  5	  6	136	  6	  6	  6	 0.00	17.4	 72	 11.8	  0	   0	0.6	247	-0.02	 18.2
2014-02-10 06:00:00	 0.00	1.8	3.4	13.0	6.6	5.6	  0	244	1.4	1.3	13.0	13.0	244	244	1.3	0.0	7.4	0.0	0.0	166	  0	0.00	0.00	  8	 10	121	  9	  9	  9	 0.00	17.1	 70	 12.6	  0	   0	0.5	241	-0.00	 18.1
2014-02-10 07:00:00	 0.00	1.8	3.3	13.0	6.6	5.5	  0	244	1.3	1.3	13.0	13.0	244	243	1.3	0.0	7.4	0.0	0.0	168	  0	0.00	0.00	  9	 11	116	 10	  9	 10	 0.00	16.9	 73	 11.4	  0	   0	0.5	232	-0.01	 17.9
2014-02-10 08:00:00	 0.00	1.8	3.3	13.0	6.4	5.4	  0	244	1.3	1.2	13.0	13.0	244	244	1.3	0.0	7.3	0.0	0.0	170	  0	0.00	0.00	  8	 10	119	  9	  9	  9	 0.00	16.9	 74	 11.1	  0	   0	0.4	222	 0.02	 17.8
2014-02-10 09:00:00	 0.00	1.7	3.2	12.9	6.4	5.4	  0	244	1.3	1.2	12.9	12.9	244	244	1.2	0.0	7.3	0.0	0.0	173	  0	0.00	0.00	  7	  9	120	  8	  8	  8	 0.00	16.9	 75	 10.9	  0	   0	0.3	212	 0.03	 17.8
2014-02-10 10:00:00	 0.00	1.7	3.1	12.9	6.5	5.4	  0	244	1.3	1.2	12.9	12.9	244	244	1.2	0.0	7.3	0.0	0.0	176	  0	0.00	0.00	  6	  7	119	  6	  6	  6	 0.00	16.9	 75	 10.8	  0	   0	0.2	203	 0.02	 17.7
2014-02-10 11:00:00	 0.00	1.7	3.1	12.8	6.5	5.5	  0	244	1.3	1.2	12.8	12.8	244	244	1.2	0.0	7.2	0.0	0.0	181	  0	0.00	0.00	  6	  7	106	  6	  6	  6	 0.00	16.9	 76	 10.5	  0	   0	0.1	202	 0.02	 17.7
2014-02-10 12:00:00	 0.00	1.6	3.0	12.8	6.6	5.5	  0	244	1.3	1.2	12.8	12.8	244	244	1.1	0.0	7.2	0.0	0.0	185	  0	0.00	0.00	  2	  2	 89	  2	  2	  2	 0.00	17.1	 73	 11.6	  0	   0	0.0	206	 0.03	 17.7
2014-02-10 13:00:00	 0.00	1.6	2.9	12.7	6.5	5.4	  0	244	1.3	1.1	12.7	12.7	244	244	1.1	0.0	7.3	0.0	0.0	192	  0	0.00	0.00	  1	  2	 38	  1	  1	  1	 0.00	17.0	 77	 10.2	  0	   0	0.1	351	 0.02	 17.6
2014-02-10 14:00:00	 0.00	1.5	2.9	12.6	6.4	5.3	  0	241	1.2	1.1	12.6	12.6	241	241	1.1	0.0	0.0	0.0	0.0	  0	  0	0.00	0.00	  2	  3	355	  3	  3	  3	 0.00	17.0	 77	 10.1	  0	   0	0.1	329	 0.01	 17.6
2014-02-10 15:00:00	 0.00	1.5	2.8	12.5	6.3	5.2	  0	241	1.2	1.1	12.5	12.5	241	241	1.0	0.0	0.0	0.0	0.0	  0	  0	0.00	0.00	  4	  5	328	  4	  4	  4	 0.00	17.0	 79	  9.6	  0	   0	0.2	321	 0.00	 17.6
2014-02-10 16:00:00	 0.00	1.5	2.7	12.4	6.3	5.2	  0	241	1.2	1.1	12.4	12.4	241	241	1.0	0.0	0.0	0.0	0.0	  0	  0	0.00	0.00	  6	  7	311	  6	  6	  6	 0.00	17.1	 80	  9.1	100	8345	0.2	301	-0.01	 17.6
2014-02-10 17:00:00	 0.00	1.4	2.6	12.3	6.4	5.2	  0	241	1.2	1.1	12.3	12.3	241	241	0.9	0.0	0.0	0.0	0.0	  0	  0	0.00	0.00	  7	  8	307	  7	  7	  7	 0.00	17.2	 82	  8.8	100	1957	0.2	289	-0.02	 17.5
2014-02-10 18:00:00	 0.00	1.4	2.6	12.2	6.5	5.3	  0	241	1.2	1.0	12.2	12.2	241	241	0.9	0.0	0.0	0.0	0.0	  0	  0	0.00	0.00	  7	  9	323	  8	  7	  7	 0.00	17.5	 74	 11.2	  0	   0	0.2	274	-0.01	 17.5
